staff_id,role,department_id,hospital_id,specialization,shift_type,employment_type,years_experience,on_roster
STF00001,Resident Doctor,DEP0043,HOSP02,General,Morning,Contract,3.5,True
STF00002,Staff Nurse,DEP0078,HOSP04,-,Morning,Contract,5.9,True
STF00003,Support Staff,DEP0048,HOSP03,-,Rotating,Permanent,9.8,True
STF00004,Staff Nurse,DEP0089,HOSP05,-,Night,Permanent,4.8,True
STF00005,Lab Technician,DEP0094,HOSP05,-,Morning,Permanent,8.0,False
STF00006,Staff Nurse,DEP0023,HOSP02,-,Rotating,Permanent,11.7,True
STF00007,Senior Nurse,DEP0073,HOSP04,-,Evening,Intern,20.7,True
STF00008,Lab Technician,DEP0073,HOSP04,-,Evening,Permanent,7.7,True
STF00009,Staff Nurse,DEP0093,HOSP05,-,Rotating,Contract,20.3,True
STF00010,Lab Technician,DEP0002,HOSP01,-,Rotating,Contract,3.2,True
STF00011,Consultant,DEP0001,HOSP01,General,Morning,Contract,7.4,True
STF00012,Support Staff,DEP0093,HOSP05,-,Morning,Contract,13.3,True
STF00013,Support Staff,DEP0093,HOSP05,-,Morning,Permanent,12.5,True
STF00014,Medical Officer,DEP0048,HOSP03,General,Morning,Contract,15.0,True
STF00015,Staff Nurse,DEP0015,HOSP01,-,Rotating,Permanent,15.5,True
STF00016,Resident Doctor,DEP0097,HOSP05,Cardiologist,Evening,Permanent,19.7,True
STF00017,Lab Technician,DEP0087,HOSP04,-,Evening,Contract,5.3,True
STF00018,Staff Nurse,DEP0036,HOSP02,-,Rotating,Intern,1.7,True
STF00019,Senior Nurse,DEP0017,HOSP01,-,Rotating,Contract,9.4,False
STF00020,Support Staff,DEP0002,HOSP01,-,Night,Intern,3.0,True
STF00021,Lab Technician,DEP0004,HOSP01,-,Evening,Permanent,2.3,True
STF00022,Medical Officer,DEP0007,HOSP01,Obstetrician,Morning,Permanent,4.6,True
STF00023,Senior Nurse,DEP0068,HOSP04,-,Morning,Permanent,14.9,True
STF00024,Consultant,DEP0001,HOSP01,General,Evening,Contract,8.9,True
STF00025,Senior Nurse,DEP0025,HOSP02,-,Morning,Contract,1.6,True
STF00026,Lab Technician,DEP0092,HOSP05,-,Morning,Visiting,1.5,True
STF00027,Support Staff,DEP0024,HOSP02,-,Rotating,Contract,14.7,True
STF00028,Resident Doctor,DEP0023,HOSP02,General,Night,Contract,20.3,True
STF00029,Resident Doctor,DEP0025,HOSP02,General,Morning,Contract,8.6,True
STF00030,Radiology Technician,DEP0092,HOSP05,-,Morning,Permanent,11.6,True
STF00031,Pharmacist,DEP0011,HOSP01,-,Evening,Contract,13.3,True
STF00032,Staff Nurse,DEP0018,HOSP01,-,Night,Permanent,8.8,True
STF00033,Medical Officer,DEP0001,HOSP01,General,Rotating,Visiting,6.6,True
STF00034,Consultant,DEP0008,HOSP01,Pediatrician,Rotating,Contract,9.6,True
STF00035,Staff Nurse,DEP0026,HOSP02,-,Evening,Permanent,8.4,True
STF00036,Support Staff,DEP0028,HOSP02,-,Night,Visiting,1.8,True
STF00037,Medical Officer,DEP0067,HOSP04,General,Rotating,Contract,7.3,True
STF00038,Staff Nurse,DEP0052,HOSP03,-,Morning,Visiting,14.5,True
STF00039,Resident Doctor,DEP0033,HOSP02,Nephrologist,Rotating,Permanent,19.2,True
STF00040,Medical Officer,DEP0092,HOSP05,General,Morning,Contract,13.5,True
STF00041,Medical Officer,DEP0071,HOSP04,Surgeon,Night,Permanent,3.0,True
STF00042,Staff Nurse,DEP0008,HOSP01,-,Evening,Permanent,2.9,True
STF00043,Radiology Technician,DEP0028,HOSP02,-,Rotating,Intern,6.9,True
STF00044,Medical Officer,DEP0092,HOSP05,General,Rotating,Intern,27.2,True
STF00045,Radiology Technician,DEP0070,HOSP04,-,Rotating,Permanent,3.4,True
STF00046,Consultant,DEP0015,HOSP01,General,Morning,Visiting,6.5,False
STF00047,Resident Doctor,DEP0094,HOSP05,Orthopedic Surgeon,Rotating,Visiting,25.8,False
STF00048,Senior Nurse,DEP0004,HOSP01,-,Evening,Permanent,9.6,True
STF00049,Staff Nurse,DEP0093,HOSP05,-,Night,Permanent,10.1,True
STF00050,Support Staff,DEP0026,HOSP02,-,Night,Permanent,25.6,True
STF00051,Resident Doctor,DEP0049,HOSP03,Surgeon,Morning,Contract,11.3,True
STF00052,Pharmacist,DEP0098,HOSP05,-,Rotating,Permanent,40.0,True
STF00053,Consultant,DEP0073,HOSP04,Obstetrician,Night,Contract,6.4,False
STF00054,Lab Technician,DEP0030,HOSP02,-,Night,Permanent,11.2,True
STF00055,Senior Nurse,DEP0027,HOSP02,-,Night,Permanent,11.0,True
STF00056,Staff Nurse,DEP0011,HOSP01,-,Night,Permanent,10.1,True
STF00057,Resident Doctor,DEP0093,HOSP05,Surgeon,Morning,Permanent,5.5,True
STF00058,Support Staff,DEP0026,HOSP02,-,Rotating,Permanent,6.2,True
STF00059,Medical Officer,DEP0077,HOSP04,Nephrologist,Rotating,Contract,11.4,True
STF00060,Support Staff,DEP0006,HOSP01,-,Rotating,Permanent,7.4,True
STF00061,Staff Nurse,DEP0021,HOSP01,-,Rotating,Permanent,4.0,True
STF00062,Lab Technician,DEP0005,HOSP01,-,Rotating,Permanent,1.0,True
STF00063,Pharmacist,DEP0027,HOSP02,-,Morning,Contract,5.2,True
STF00064,Medical Officer,DEP0007,HOSP01,Obstetrician,Morning,Permanent,3.9,True
STF00065,Medical Officer,DEP0001,HOSP01,General,Rotating,Contract,9.8,True
STF00066,Staff Nurse,DEP0082,HOSP04,-,Morning,Permanent,9.5,True
STF00067,Resident Doctor,DEP0074,HOSP04,Pediatrician,Evening,Contract,4.6,True
STF00068,Staff Nurse,DEP0082,HOSP04,-,Morning,Contract,5.4,False
STF00069,Lab Technician,DEP0030,HOSP02,-,Evening,Intern,22.6,True
STF00070,Staff Nurse,DEP0007,HOSP01,-,Night,Contract,6.4,True
STF00071,Medical Officer,DEP0026,HOSP02,General,Night,Permanent,7.1,True
STF00072,Consultant,DEP0092,HOSP05,General,Evening,Permanent,3.2,True
STF00073,Support Staff,DEP0067,HOSP04,-,Rotating,Permanent,12.5,True
STF00074,Medical Officer,DEP0067,HOSP04,General,Rotating,Permanent,21.6,True
STF00075,Staff Nurse,DEP0086,HOSP04,-,Morning,Permanent,12.5,False
STF00076,Staff Nurse,DEP0091,HOSP05,-,Night,Permanent,7.0,True
STF00077,Consultant,DEP0032,HOSP02,Neurologist,Night,Contract,18.2,True
STF00078,Staff Nurse,DEP0102,HOSP05,-,Morning,Permanent,9.5,True
STF00079,Staff Nurse,DEP0104,HOSP05,-,Morning,Contract,14.2,False
STF00080,Staff Nurse,DEP0027,HOSP02,-,Night,Permanent,5.6,True
STF00081,Consultant,DEP0053,HOSP03,Cardiologist,Morning,Permanent,21.2,True
STF00082,Medical Officer,DEP0071,HOSP04,Surgeon,Night,Permanent,5.6,True
STF00083,Staff Nurse,DEP0027,HOSP02,-,Evening,Contract,10.2,True
STF00084,Support Staff,DEP0009,HOSP01,-,Morning,Intern,10.8,True
STF00085,Medical Officer,DEP0087,HOSP04,General,Rotating,Contract,15.2,False
STF00086,Pharmacist,DEP0004,HOSP01,-,Morning,Contract,6.6,True
STF00087,Resident Doctor,DEP0066,HOSP03,General,Evening,Contract,4.5,True
STF00088,Medical Officer,DEP0049,HOSP03,Surgeon,Rotating,Permanent,6.3,True
STF00089,Medical Officer,DEP0067,HOSP04,General,Night,Permanent,5.0,True
STF00090,Support Staff,DEP0069,HOSP04,-,Rotating,Permanent,4.5,True
STF00091,Medical Officer,DEP0055,HOSP03,Nephrologist,Morning,Permanent,9.5,False
STF00092,Senior Nurse,DEP0068,HOSP04,-,Rotating,Permanent,19.0,False
STF00093,Consultant,DEP0064,HOSP03,General,Evening,Permanent,9.8,True
STF00094,Consultant,DEP0045,HOSP03,General,Rotating,Permanent,6.7,True
STF00095,Medical Officer,DEP0067,HOSP04,General,Evening,Contract,3.7,True
STF00096,Resident Doctor,DEP0026,HOSP02,General,Night,Permanent,13.2,True
STF00097,Resident Doctor,DEP0077,HOSP04,Nephrologist,Night,Permanent,8.7,True
STF00098,Staff Nurse,DEP0046,HOSP03,-,Rotating,Permanent,5.7,True
STF00099,Staff Nurse,DEP0092,HOSP05,-,Evening,Permanent,24.4,True
STF00100,Medical Officer,DEP0028,HOSP02,Orthopedic Surgeon,Night,Permanent,16.6,False
STF00101,Support Staff,DEP0005,HOSP01,-,Rotating,Contract,1.3,True
STF00102,Support Staff,DEP0073,HOSP04,-,Rotating,Permanent,5.1,True
STF00103,Support Staff,DEP0095,HOSP05,-,Morning,Permanent,4.0,True
STF00104,Pharmacist,DEP0109,HOSP05,-,Morning,Permanent,7.0,True
STF00105,Support Staff,DEP0089,HOSP05,-,Morning,Permanent,3.2,True
STF00106,Resident Doctor,DEP0080,HOSP04,General,Morning,Intern,21.0,True
STF00107,Senior Nurse,DEP0089,HOSP05,-,Evening,Permanent,13.4,False
STF00108,Radiology Technician,DEP0078,HOSP04,-,Night,Permanent,19.5,True
STF00109,Staff Nurse,DEP0087,HOSP04,-,Morning,Permanent,0.7,True
STF00110,Consultant,DEP0087,HOSP04,General,Night,Permanent,2.4,False
STF00111,Support Staff,DEP0067,HOSP04,-,Rotating,Permanent,13.6,True
STF00112,Medical Officer,DEP0096,HOSP05,Pediatrician,Evening,Intern,5.2,True
STF00113,Senior Nurse,DEP0052,HOSP03,-,Rotating,Permanent,5.4,False
STF00114,Support Staff,DEP0093,HOSP05,-,Evening,Permanent,10.4,True
STF00115,Medical Officer,DEP0067,HOSP04,General,Morning,Permanent,6.5,True
STF00116,Lab Technician,DEP0079,HOSP04,-,Morning,Permanent,9.0,True
STF00117,Radiology Technician,DEP0070,HOSP04,-,Night,Contract,11.5,True
STF00118,Consultant,DEP0099,HOSP05,Nephrologist,Night,Contract,3.6,True
STF00119,Staff Nurse,DEP0028,HOSP02,-,Rotating,Contract,7.2,True
STF00120,Pharmacist,DEP0095,HOSP05,-,Rotating,Permanent,12.6,True
STF00121,Staff Nurse,DEP0076,HOSP04,-,Rotating,Contract,27.3,True
STF00122,Consultant,DEP0072,HOSP04,Orthopedic Surgeon,Evening,Permanent,3.9,True
STF00123,Staff Nurse,DEP0021,HOSP01,-,Rotating,Permanent,8.8,True
STF00124,Staff Nurse,DEP0051,HOSP03,-,Evening,Intern,9.8,True
STF00125,Staff Nurse,DEP0105,HOSP05,-,Rotating,Contract,16.4,True
STF00126,Resident Doctor,DEP0067,HOSP04,General,Night,Visiting,2.4,True
STF00127,Staff Nurse,DEP0089,HOSP05,-,Morning,Permanent,7.5,True
STF00128,Resident Doctor,DEP0089,HOSP05,General,Morning,Permanent,20.8,True
STF00129,Staff Nurse,DEP0013,HOSP01,-,Rotating,Contract,12.9,True
STF00130,Staff Nurse,DEP0061,HOSP03,-,Evening,Intern,1.2,True
STF00131,Resident Doctor,DEP0048,HOSP03,General,Rotating,Permanent,4.6,True
STF00132,Senior Nurse,DEP0100,HOSP05,-,Rotating,Contract,11.8,False
STF00133,Staff Nurse,DEP0001,HOSP01,-,Evening,Permanent,8.2,True
STF00134,Staff Nurse,DEP0029,HOSP02,-,Morning,Intern,5.3,True
STF00135,Lab Technician,DEP0070,HOSP04,-,Evening,Permanent,22.1,True
STF00136,Resident Doctor,DEP0095,HOSP05,Obstetrician,Night,Intern,13.0,True
STF00137,Resident Doctor,DEP0045,HOSP03,General,Rotating,Visiting,3.6,True
STF00138,Resident Doctor,DEP0024,HOSP02,Intensivist,Morning,Contract,13.0,True
STF00139,Staff Nurse,DEP0089,HOSP05,-,Evening,Permanent,7.0,False
STF00140,Staff Nurse,DEP0031,HOSP02,-,Morning,Permanent,6.6,True
STF00141,Staff Nurse,DEP0005,HOSP01,-,Evening,Contract,7.1,True
STF00142,Staff Nurse,DEP0068,HOSP04,-,Morning,Permanent,2.0,True
STF00143,Senior Nurse,DEP0074,HOSP04,-,Night,Permanent,9.1,True
STF00144,Lab Technician,DEP0027,HOSP02,-,Evening,Contract,18.5,True
STF00145,Resident Doctor,DEP0079,HOSP04,General,Rotating,Visiting,5.6,True
STF00146,Radiology Technician,DEP0068,HOSP04,-,Evening,Permanent,7.7,True
STF00147,Support Staff,DEP0068,HOSP04,-,Morning,Visiting,4.3,True
STF00148,Support Staff,DEP0089,HOSP05,-,Evening,Visiting,2.2,True
STF00149,Consultant,DEP0091,HOSP05,General,Rotating,Contract,3.0,True
STF00150,Support Staff,DEP0050,HOSP03,-,Rotating,Contract,24.0,True
STF00151,Pharmacist,DEP0089,HOSP05,-,Evening,Permanent,12.7,True
STF00152,Senior Nurse,DEP0004,HOSP01,-,Morning,Visiting,11.4,True
STF00153,Support Staff,DEP0104,HOSP05,-,Night,Permanent,6.6,True
STF00154,Radiology Technician,DEP0030,HOSP02,-,Rotating,Permanent,1.4,True
STF00155,Pharmacist,DEP0073,HOSP04,-,Evening,Intern,10.0,True
STF00156,Staff Nurse,DEP0001,HOSP01,-,Night,Permanent,16.1,True
STF00157,Radiology Technician,DEP0049,HOSP03,-,Morning,Contract,1.2,True
STF00158,Staff Nurse,DEP0035,HOSP02,-,Night,Permanent,1.2,True
STF00159,Lab Technician,DEP0066,HOSP03,-,Rotating,Permanent,7.0,True
STF00160,Radiology Technician,DEP0081,HOSP04,-,Morning,Permanent,5.4,True
STF00161,Staff Nurse,DEP0050,HOSP03,-,Rotating,Contract,6.4,True
STF00162,Resident Doctor,DEP0004,HOSP01,General,Rotating,Permanent,12.3,True
STF00163,Staff Nurse,DEP0030,HOSP02,-,Evening,Visiting,2.0,True
STF00164,Support Staff,DEP0096,HOSP05,-,Morning,Permanent,7.0,True
STF00165,Staff Nurse,DEP0044,HOSP02,-,Rotating,Contract,16.1,True
STF00166,Consultant,DEP0035,HOSP02,General,Morning,Contract,13.6,True
STF00167,Consultant,DEP0070,HOSP04,General,Rotating,Contract,14.8,True
STF00168,Radiology Technician,DEP0048,HOSP03,-,Evening,Contract,6.3,True
STF00169,Support Staff,DEP0094,HOSP05,-,Rotating,Permanent,3.6,True
STF00170,Support Staff,DEP0050,HOSP03,-,Rotating,Visiting,15.1,False
STF00171,Medical Officer,DEP0051,HOSP03,Obstetrician,Evening,Contract,8.2,True
STF00172,Staff Nurse,DEP0049,HOSP03,-,Evening,Intern,3.2,True
STF00173,Staff Nurse,DEP0047,HOSP03,-,Evening,Permanent,7.8,False
STF00174,Radiology Technician,DEP0001,HOSP01,-,Rotating,Visiting,3.6,True
STF00175,Resident Doctor,DEP0066,HOSP03,General,Evening,Visiting,3.0,True
STF00176,Consultant,DEP0041,HOSP02,General,Evening,Permanent,12.0,True
STF00177,Radiology Technician,DEP0050,HOSP03,-,Evening,Intern,8.7,True
STF00178,Lab Technician,DEP0026,HOSP02,-,Morning,Intern,1.2,True
STF00179,Staff Nurse,DEP0008,HOSP01,-,Morning,Contract,10.1,True
STF00180,Staff Nurse,DEP0095,HOSP05,-,Evening,Contract,6.9,True
STF00181,Pharmacist,DEP0091,HOSP05,-,Rotating,Contract,5.8,True
STF00182,Staff Nurse,DEP0027,HOSP02,-,Morning,Permanent,11.3,True
STF00183,Senior Nurse,DEP0072,HOSP04,-,Rotating,Contract,7.5,True
STF00184,Staff Nurse,DEP0049,HOSP03,-,Morning,Contract,18.5,True
STF00185,Senior Nurse,DEP0004,HOSP01,-,Morning,Permanent,5.4,False
STF00186,Staff Nurse,DEP0049,HOSP03,-,Night,Permanent,2.5,True
STF00187,Pharmacist,DEP0014,HOSP01,-,Night,Permanent,12.3,True
STF00188,Pharmacist,DEP0030,HOSP02,-,Evening,Permanent,8.7,True
STF00189,Staff Nurse,DEP0089,HOSP05,-,Morning,Permanent,3.6,True
STF00190,Support Staff,DEP0025,HOSP02,-,Morning,Permanent,9.2,True
STF00191,Support Staff,DEP0104,HOSP05,-,Rotating,Contract,10.4,True
STF00192,Support Staff,DEP0002,HOSP01,-,Morning,Permanent,7.1,True
STF00193,Pharmacist,DEP0073,HOSP04,-,Rotating,Permanent,7.1,True
